model,name,missing_type,rho,dMAE,dACC,dF1,gainMAE,aware_mae,unaware_mae
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text,1.0,0.16711920499801636,-0.21291208791208804,-0.27819733908004685,-8.58306884765625e-06,0.7661336660385132,0.7661250829696655
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio,0.1,0.005465492606163025,0.003434065934065894,0.0022596057829590843,4.680454730987549e-05,0.6044799536466599,0.6045267581939697
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio,0.2,0.014298170804977417,0.003434065934065894,0.002949303182557511,8.822977542877197e-05,0.6133126318454742,0.613400861620903
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio,0.3,0.02433134615421295,-0.006524725274725335,-0.0049573662376742045,0.00015479326248168945,0.6233458071947098,0.6235006004571915
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio,0.5,0.056043028831481934,-0.038804945054945084,-0.03444363549824983,0.0002924799919128418,0.6550574898719788,0.6553499698638916
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio,1.0,0.1661013960838318,-0.23351648351648363,-0.30018749952634555,0.00046116113662719727,0.7651158571243286,0.7655770182609558
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio+vision,0.1,0.005473777651786804,0.005151098901098855,0.003932872087114736,1.2069940567016602e-06,0.6044882386922836,0.6044894456863403
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio+vision,0.2,0.01563115417957306,0.006524725274725224,0.006130667634209747,-1.9818544387817383e-06,0.6146456152200699,0.6146436333656311
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio+vision,0.3,0.026100724935531616,-0.00034340659340661994,0.001154556059517392,4.559755325317383e-06,0.6251151859760284,0.6251197457313538
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio+vision,0.5,0.059893012046813965,-0.032623626373626397,-0.026491959696581663,2.1696090698242188e-05,0.6589074730873108,0.658929169178009
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio+vision,1.0,0.18506723642349243,-0.32692307692307704,-0.44371304120902133,2.6881694793701172e-05,0.7840816974639893,0.784108579158783
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,vision,0.1,0.00019906461238861084,0.0030906593406593297,0.0025547165559503537,-2.110004425048828e-05,0.5992135256528854,0.599192425608635
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,vision,0.2,0.0007514059543609619,0.002060439560439553,0.0017444536352647644,-6.604194641113281e-05,0.5997658669948578,0.5996998250484467
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,vision,0.3,0.0011030584573745728,-0.00034340659340661994,-0.0007830202184186397,-0.00011499226093292236,0.6001175194978714,0.6000025272369385
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,vision,0.5,0.0026904791593551636,0.005151098901098883,0.004637275054078016,-0.00019715726375579834,0.601704940199852,0.6015077829360962
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,vision,1.0,0.007825970649719238,0.008241758241758212,0.007868003155334757,-0.00038486719131469727,0.6068404316902161,0.6064555644989014
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio,0.1,2.5004148483276367e-05,0.0003434065934065922,0.00037380294535344083,2.9653310775756836e-05,0.5866406261920929,0.5866702795028687
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio,0.2,4.8413872718811035e-05,0.0,9.850327339108733e-05,2.919137477874756e-05,0.5866640359163284,0.5866932272911072
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio,0.3,3.841519355773926e-05,-0.0010302197802197766,-0.0010192661744840847,2.7135014533996582e-05,0.5866540372371674,0.5866811722517014
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio,0.5,1.8477439880371094e-06,-0.0003434065934065922,-0.0003770163359453349,2.5346875190734863e-05,0.5866174697875977,0.5866428166627884
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio,1.0,0.00018423795700073242,0.0027472527472527375,0.002584194369219195,1.5914440155029297e-05,0.5867998600006104,0.5868157744407654
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio+vision,0.1,0.00042641162872314453,-0.002060439560439553,-0.0023523127312431447,1.0326504707336426e-05,0.5870420336723328,0.5870523601770401
