model,name,missing_type,position,dMAE,dACC,dF1,gainMAE,aware_mae,unaware_mae
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio+vision,tail,0.05873018503189087,-0.061263736263736324,-0.0857201032158843,9.441375732421875e-06,0.6577446460723877,0.6577540874481201
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,vision,head,0.002176964282989502,0.004120879120879106,0.003867449508609644,-0.0001557469367980957,0.6011914253234864,0.6010356783866883
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,vision,middle,0.0024889469146728515,0.0030219780219780112,0.0024650681895812543,-0.0001589655876159668,0.6015034079551697,0.6013444423675537
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,vision,random,0.0028091907501220704,0.0013736263736263466,0.0011437022962718535,-0.00015877485275268556,0.6018236517906189,0.6016648769378662
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,vision,tail,0.002580881118774414,0.0060439560439560225,0.00534092255130465,-0.0001538395881652832,0.6015953421592712,0.601441502571106
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio,head,9.39011573791504e-05,0.00027472527472527375,0.00037517705069949335,2.619028091430664e-05,0.5867095232009888,0.5867357134819031
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio,middle,-1.1396408081054687e-05,0.0005494505494505475,0.0004352306432251485,2.5856494903564454e-05,0.5866042256355286,0.5866300821304321
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio,random,6.551742553710938e-05,0.001098901098901095,0.0011164240775334068,2.4902820587158204e-05,0.5866811394691467,0.5867060422897339
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio,tail,9.031295776367188e-05,-0.0005494505494505475,-0.0005986573094306058,2.4843215942382813e-05,0.5867059350013732,0.5867307782173157
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio+vision,head,0.0025229811668395995,-0.0027472527472527375,-0.00214514259562415,-7.660388946533203e-05,0.5891386032104492,0.5890619993209839
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio+vision,middle,0.0028217315673828127,-0.0027472527472527375,-0.0020236074820833227,-4.163980484008789e-05,0.5894373536109925,0.5893957138061523
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio+vision,random,0.002715325355529785,-0.005769230769230749,-0.005076031506004264,-4.314184188842773e-05,0.5893309473991394,0.589287805557251
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio+vision,tail,0.0027048468589782717,-0.0049450549450549275,-0.004488288611814273,-3.808736801147461e-05,0.5893204689025879,0.5892823815345765
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text,head,0.047382903099060056,-0.07500000000000002,-0.07791621405709753,0.0011460423469543458,0.6339985251426696,0.635144567489624
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text,middle,0.04025356769561768,-0.07994505494505495,-0.08464034185863775,0.0012291908264160157,0.6268691897392273,0.6280983805656433
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text,random,0.041393160820007324,-0.0785714285714286,-0.0825837468682711,0.0013753890991210938,0.6280087828636169,0.629384171962738
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text,tail,0.04088923931121826,-0.06785714285714287,-0.07446576581891405,0.0013974785804748535,0.6275048613548279,0.6289023399353028
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio,head,0.04749116897583008,-0.07664835164835167,-0.07963710129863714,0.001107943058013916,0.6341067910194397,0.6352147340774537
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio,middle,0.04031363725662231,-0.08076923076923077,-0.08551768876628056,0.0011882662773132324,0.6269292593002319,0.6281175255775452
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio,random,0.04228358268737793,-0.07994505494505495,-0.08389959638752083,0.0010924100875854491,0.6288992047309876,0.629991614818573
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio,tail,0.041102612018585206,-0.06923076923076923,-0.07580388507287812,0.001374506950378418,0.6277182340621948,0.6290927410125733
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio+vision,head,0.05172972679138184,-0.08873626373626374,-0.0914447695276368,0.000753474235534668,0.6383453488349915,0.6390988230705261
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio+vision,middle,0.044683408737182614,-0.08846153846153847,-0.0934181325699929,0.0009172677993774414,0.6312990307807922,0.6322162985801697
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio+vision,random,0.04969029426574707,-0.08131868131868134,-0.08551260006667558,0.000917816162109375,0.6363059163093567,0.637223732471466
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio+vision,tail,0.0454175591468811,-0.0782967032967033,-0.0850800704475035,0.0010014891624450684,0.6320331811904907,0.6330346703529358
ens_top2,MRF-Net（B：42+43 集成，提交模型）,vision,head,0.0023635149002075194,-0.0024725274725274637,-0.0020847055104774802,-8.448362350463868e-05,0.5889791369438171,0.5888946533203125
ens_top2,MRF-Net（B：42+43 集成，提交模型）,vision,middle,0.0027710914611816405,-0.0016483516483516425,-0.0012144450650533045,-5.4442882537841796e-05,0.5893867135047912,0.5893322706222535
ens_top2,MRF-Net（B：42+43 集成，提交模型）,vision,random,0.0026604652404785155,-0.0016483516483516425,-0.0011602192871223104,-4.410743713378906e-05,0.5892760872840881,0.5892319798469543
ens_top2,MRF-Net（B：42+43 集成，提交模型）,vision,tail,0.002553403377532959,-0.0038461538461538325,-0.003603099574693136,-4.7373771667480466e-05,0.5891690254211426,0.589121651649475
ours_s42,MRF-Net（单种子 42）,audio,head,5.3369998931884764e-05,-0.0013736263736263687,-0.0016875285964026876,3.819465637207031e-05,0.5862709522247315,0.5863091468811035
ours_s42,MRF-Net（单种子 42）,audio,middle,-0.00015262365341186523,-0.0016483516483516425,-0.0017626243712487,3.973245620727539e-05,0.5860649585723877,0.586104691028595
ours_s42,MRF-Net（单种子 42）,audio,random,-2.44140625e-05,-0.001098901098901095,-0.0013533161404440496,3.801584243774414e-05,0.5861931681632996,0.5862311840057373
ours_s42,MRF-Net（单种子 42）,audio,tail,-1.1992454528808593e-05,-0.0013736263736263687,-0.0015751945518882372,3.628730773925781e-05,0.5862055897712708,0.58624187707901
ours_s42,MRF-Net（单种子 42）,audio+vision,head,0.0017650961875915528,-0.0049450549450549275,-0.004570312872714944,-1.5854835510253906e-05,0.5879826784133911,0.5879668235778809
ours_s42,MRF-Net（单种子 42）,audio+vision,middle,0.0018504023551940917,-0.005769230769230749,-0.005310109157528942,2.288818359375e-05,0.5880679845809936,0.5880908727645874
ours_s42,MRF-Net（单种子 42）,audio+vision,random,0.001663672924041748,-0.004670329670329654,-0.004277407880535255,3.216266632080078e-05,0.5878812551498414,0.5879134178161621
ours_s42,MRF-Net（单种子 42）,audio+vision,tail,0.0016776084899902343,-0.0030219780219780112,-0.002908881291526133,4.470348358154297e-05,0.5878951907157898,0.5879398941993713
ours_s42,MRF-Net（单种子 42）,text,head,0.04541836977005005,-0.07802197802197802,-0.08097204814088446,0.000581657886505127,0.6316359519958497,0.6322176098823548
ours_s42,MRF-Net（单种子 42）,text,middle,0.03888567686080933,-0.07857142857142857,-0.08272789744138032,0.0007297158241271973,0.6251032590866089,0.6258329749107361
ours_s42,MRF-Net（单种子 42）,text,random,0.0399439811706543,-0.07472527472527471,-0.07948722346643514,0.0008024096488952637,0.6261615633964539,0.6269639730453491
ours_s42,MRF-Net（单种子 42）,text,tail,0.04026142358779907,-0.06456043956043954,-0.07045648635792452,0.000896608829498291,0.6264790058135986,0.6273756146430969
ours_s42,MRF-Net（单种子 42）,text+audio,head,0.04563679695129395,-0.07912087912087913,-0.0822216507048598,0.0005703210830688476,0.6318543791770935,0.6324247002601624
ours_s42,MRF-Net（单种子 42）,text+audio,middle,0.03894971609115601,-0.0815934065934066,-0.08578952476164477,0.0006864190101623536,0.6251672983169556,0.6258537173271179
ours_s42,MRF-Net（单种子 42）,text+audio,random,0.04039518833160401,-0.08131868131868132,-0.08555984944848796,0.0006321907043457031,0.6266127705574036,0.6272449612617492
ours_s42,MRF-Net（单种子 42）,text+audio,tail,0.04054481983184814,-0.06648351648351647,-0.07246606375190487,0.0008616924285888671,0.6267624020576477,0.6276240944862366
ours_s42,MRF-Net（单种子 42）,text+audio+vision,head,0.04962925910949707,-0.09148351648351649,-0.09474067258253402,0.00030333995819091796,0.6358468413352967,0.6361501812934875
ours_s42,MRF-Net（单种子 42）,text+audio+vision,middle,0.04311118125915527,-0.0945054945054945,-0.09871907831600521,0.00044149160385131836,0.6293287634849548,0.6297702550888061
ours_s42,MRF-Net（单种子 42）,text+audio+vision,random,0.04845266342163086,-0.08681318681318681,-0.09106987710946766,0.00043865442276000974,0.6346702456474305,0.6351089000701904
ours_s42,MRF-Net（单种子 42）,text+audio+vision,tail,0.04449783563613892,-0.07939560439560442,-0.08504335269623539,0.0005791783332824707,0.6307154178619385,0.631294596195221
ours_s42,MRF-Net（单种子 42）,vision,head,0.0015978574752807616,-0.0030219780219780112,-0.002730712094046006,1.1014938354492188e-05,0.5878154397010803,0.5878264546394348
ours_s42,MRF-Net（单种子 42）,vision,middle,0.001895129680633545,-0.003296703296703285,-0.0030278516984895364,4.3463706970214846e-05,0.5881127119064331,0.5881561756134033
ours_s42,MRF-Net（单种子 42）,vision,random,0.0018091082572937011,-0.003296703296703285,-0.003205426424552438,5.605220794677734e-05,0.5880266904830933,0.58808274269104
ours_s42,MRF-Net（单种子 42）,vision,tail,0.0015890836715698243,-0.0013736263736263687,-0.0013267350622131247,6.470680236816406e-05,0.5878066658973694,0.5878713726997375
