split,order_by,coverage,n,mae,acc,f1
test,entropy(升序),0.35,254,0.6969982981681824,0.8543307086614174,0.6673816673816674
test,entropy(升序),0.4,291,0.7018654942512512,0.8487972508591065,0.682340019377766
test,entropy(升序),0.45,327,0.6858656406402588,0.8348623853211009,0.6810795885521755
test,entropy(升序),0.5,364,0.6715947389602661,0.8214285714285714,0.7022311759569305
test,entropy(升序),0.55,400,0.6638870239257812,0.8025,0.7098643217062858
test,entropy(升序),0.6,436,0.6518756151199341,0.7706422018348624,0.6861605110076141
test,entropy(升序),0.65,473,0.638356626033783,0.7547568710359408,0.6983387560019404
test,entropy(升序),0.7,509,0.6334148049354553,0.7426326129666012,0.6956328780867903
test,entropy(升序),0.75,545,0.6166698932647705,0.7339449541284404,0.6973833334561267
test,entropy(升序),0.8,582,0.6245089769363403,0.7164948453608248,0.6858349677470011
test,entropy(升序),0.85,618,0.6187037229537964,0.6990291262135923,0.6722976517132269
test,entropy(升序),0.9,654,0.6132025122642517,0.6850152905198776,0.6625514403292181
test,entropy(升序),0.95,691,0.6087173223495483,0.6714905933429812,0.6530770968470648
test,entropy(升序),1.0,727,0.6216422319412231,0.6533700137551581,0.6337769922081339
test,oracle_mae,0.05,36,0.01685543917119503,0.7777777777777778,0.7777777777777778
test,oracle_mae,0.1,73,0.03623319789767265,0.7945205479452054,0.7947159223754968
test,oracle_mae,0.15,109,0.05445660650730133,0.8256880733944955,0.8288438438438438
test,oracle_mae,0.2,145,0.07182306051254272,0.8275862068965517,0.8286025408348457
test,oracle_mae,0.25,182,0.0907200425863266,0.8296703296703297,0.8326178861788618
test,oracle_mae,0.3,218,0.11039961129426956,0.8165137614678899,0.8157553103836337
test,oracle_mae,0.35,254,0.13287700712680817,0.7952755905511811,0.7935196190791262
test,oracle_mae,0.4,291,0.15849609673023224,0.7903780068728522,0.7897860527954572
test,oracle_mae,0.45,327,0.18429280817508698,0.7798165137614679,0.7797418921331322
test,oracle_mae,0.5,364,0.21034705638885498,0.771978021978022,0.7725258202857361
test,oracle_mae,0.55,400,0.2358682006597519,0.7625,0.7599293256310968
test,oracle_mae,0.6,436,0.26173242926597595,0.7477064220183486,0.7434705700087464
test,oracle_mae,0.65,473,0.2894342541694641,0.7315010570824524,0.727625065824118
test,oracle_mae,0.7,509,0.3178015649318695,0.7210216110019646,0.7141930071053258
test,oracle_mae,0.75,545,0.349742591381073,0.7119266055045872,0.7026741687611252
test,oracle_mae,0.8,582,0.3860619068145752,0.7027491408934707,0.6900370516428159
test,oracle_mae,0.85,618,0.4268697202205658,0.6957928802588996,0.680591688796148
test,oracle_mae,0.9,654,0.4743230640888214,0.6834862385321101,0.6676068535592967
test,oracle_mae,0.95,691,0.5331358313560486,0.6772793053545586,0.6589839896805524
test,oracle_mae,1.0,727,0.6216422319412231,0.6533700137551581,0.6337769922081339
